1000.0|mehedi
1001.0| Tropical Chicken| small| 5| 2805.0|   2017-03-25T23:35:54.461+06:00[Asia/Dhaka]
1002.0| BBQ Temtation| small| 56| 34272.0|   2017-03-25T23:36:16.116+06:00[Asia/Dhaka]
1003.0| Chicken Hawalian| large| 5| 4998.0|   2017-03-25T23:42:28.438+06:00[Asia/Dhaka]
1004.0| Neapolitan| medium| 44| 38148.0|   2017-03-25T23:42:54.211+06:00[Asia/Dhaka]
1005.0| Neapolitan| large| 5| 6375.0|   2017-03-25T23:47:59.992+06:00[Asia/Dhaka]
1006.0| Chicken Hawalian| medium| 4| 2774.4|   2017-03-25T23:53:46.667+06:00[Asia/Dhaka]
1007.0| BBQ Temtation| small| 1| 612.0|   2017-03-25T23:54:06.003+06:00[Asia/Dhaka]
1008.0| Tropical Chicken| medium| 2| 1428.0|   2017-03-25T23:54:19.938+06:00[Asia/Dhaka]
1009.0| Spicy Beef| medium| 3| 2448.0|   2017-03-25T23:54:37.795+06:00[Asia/Dhaka]
1010.0| BBQ Blast| medium| 2| 1428.0|   2017-03-25T23:55:15.298+06:00[Asia/Dhaka]
1011.0| Chicken Hawalian| medium| 2| 1387.2|   2017-03-25T23:55:30.771+06:00[Asia/Dhaka]
1012.0| BBQ Temtation| small| 6| 3672.0|   2017-03-26T11:34:26.653+06:00[Asia/Dhaka]
1013.0| BBQ Temtation| small| 6| 3672.0|   2017-03-26T11:34:28.069+06:00[Asia/Dhaka]
1014.0| BBQ Temtation| small| 1| 612.0|   2017-03-26T21:33:07.348+06:00[Asia/Dhaka]
1015.0| BBQ Temtation| small| 1| 612.0|   2017-03-26T21:52:52.082+06:00[Asia/Dhaka]
1016.0| BBQ Temtation| small| 1| 612.0|   2017-03-26T22:01:03.858+06:00[Asia/Dhaka]
1017.0| Spicy Beef| large| 1| 1224.0|   2017-03-26T22:08:53.512+06:00[Asia/Dhaka]
1018.0| Ren N hot| medium| 15| 11016.0|   2017-03-26T23:03:09.025+06:00[Asia/Dhaka]
